,url,step_1,step_2
10,https://www.allrecipes.com/thmb/dUfREHvqvQaBaQOIIE4kl73X6mw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1619836-918a6f9e17ff469cbec6bd7d38cde5e3.jpg,"Place the eggplant cubes into a colander. Add the salt and toss well. Let the eggplant drain for 15 minutes, then rinse it lightly with water. Let the eggplant drain again in the colander.","Bring a large pot of water to a boil. Add the noodles and boil them for about 5 minutes, until they are tender. Drain and rinse well with cold water. Let the noodles drain in a colander for at least 10 minutes."
11,https://www.allrecipes.com/thmb/AVMS-UYMLudNbK-ZPP6ekfYbbck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9122525-6b6784b5db2e40b6b98b1b328c478c27.jpg,Cook chicken: Heat oil in a deep fryer or large saucepan to 375 degrees F (190 degrees C).,Beat eggs in a large bowl until smooth. Mix in 1/2 cup plus 2 teaspoons cornstarch until no lumps remain. Stir in chicken pieces until evenly coated.
12,https://www.allrecipes.com/thmb/-K6nFZz4DcZEJ1HCIuHNDBod9Ds=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7784430-dd390c5ae18d41828ef40db5a9f0f6dd.jpg,Remove stems from mushrooms and discard or save for another use. Wipe caps clean with a dry towel.,"In a bowl, combine the pork, turnip, soy sauce, water chestnuts, salt, and sugar until thoroughly mixed. Spoon stuffing tightly into mushroom caps. Arrange in a steamer basket, stuffing side up, over boiling water. Cover, and cook for 30 minutes. Serve hot."
13,https://www.allrecipes.com/thmb/1fl6QIKcbLmX3h_CUzSC_3BLA08=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/666784-1ed1ca5c0a974b118f5f47ecc0208555.jpg,"Place 2 tablespoons of soy sauce, 2 tablespoons of white wine, 1 teaspoon of sesame oil, and 2 teaspoons of cornstarch in a non-reactive bowl, and stir until smooth. Stir the pork strips into the marinade until thoroughly coated, and refrigerate for 1 hour.","Pour hot water over the shiitake mushrooms in a bowl, and allow to soften for 15 to 20 minutes. Drain, pat dry, remove any hard stem pieces, and finely chop the mushrooms. Combine the mushrooms, green onions, garlic, and ginger in a bowl, and set aside."
14,https://www.allrecipes.com/thmb/MFMiP2RKp-XxbtoNVBrcwU3t2Fg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/702294-3ceda1d008084a6cb3f378413abe8f9d.jpg,"Bring the rice and 4 cups of water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 20 to 25 minutes. Wash and soak the shittake mushrooms in 1 cup of hot water until softened, about 10 minutes. Slice the mushrooms and set aside, reserving liquid. Season the ground chicken with the soy sauce, sesame oil, and white pepper.","Heat the vegetable oil in a skillet over medium heat. Stir in the garlic and cook until fragrant. Toss in the ground chicken, mushroom, and sausages. Cook and stir until the chicken is crumbly, evenly browned, and no longer pink. Stir in the reserved mushroom liquid, dark soy sauce, green onions, and rice. Cook and stir until the rice is evenly coated with the sauce. Pour the eggs over the rice, stirring until the egg are no longer runny."
15,https://www.allrecipes.com/thmb/bP1CVQnWPvs1oKvVMPFo4q2SHVI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/381780-e3558c6d5c464ecfa9ff08c6502c4daa.jpg,Preheat oven to 350 degrees F (175 degrees C). Line baking sheets with parchment paper.,"Stir together the peanuts, flour, corn flour, and confectioners' sugar in a large bowl until well-combined. Make a well in the center of the peanut mixture. Slowly pour in the vegetable oil and mix with the peanut mixture to make a wet, slightly sticky dough. Pinch off about 2 teaspoons of dough per cookie, and roll into balls about 1/2-inch in diameter. Place the balls on the prepared baking sheets, and brush each with egg yolk, if desired."
16,https://www.allrecipes.com/thmb/PqOBkySlKTe0GTkgB1_2R8GU8FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2490255-f02b262458d24657a7955a65b73595e9.jpg,"In a small bowl, using the bottom of a glass or jar, crush the peppercorns into a coarse pulp. Stir in the cilantro.","Heat oil in a large wok or skillet over medium-high heat. Stir in beans, garlic, brown sugar, chile pepper, peppercorns and cilantro. Stir-fry for 45 seconds. Pour in the water and cover to steam for about 2 minutes. Serve immediately."
17,https://www.allrecipes.com/thmb/k23nJXcimmwBV6h06wvVBO-mSIo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/372422-green-onion-cakes-Alberta-Rose-4x3-1-357264bea0394e929a308bfd6537b5ef.jpg,Use a fork to mix flour and boiling water in a large bowl. Knead dough into a ball. Cover bowl with plastic wrap; let dough rest for 30 to 60 minutes.,"Evenly divide dough into 16 pieces. Roll each piece into a 1/4 inch thick circle. Brush each circle with oil, season with salt and pepper, and sprinkle with about 1 teaspoon of green onions. Roll up, cigar style; coil each pancake and pinch open ends together to form a disc. Roll each circle flat to about 1/4 inch thickness."
18,https://www.allrecipes.com/thmb/UsvXQV_afomPFo3k4AarCZJQ2fk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/670967-b5d9f0c94fef4c3aa2fd10eb1c551aa4.jpg,"Heat the olive oil in a skillet over medium heat. Place the pot stickers into the hot oil flat-side-down. Cook until the bottom has turned golden brown, 1 to 2 minutes. Add the edamame and pour in the water. Cover, and bring to a simmer over medium-high heat. Cook until the pot stickers have completely thawed and are hot on the inside, 8 to 10 minutes.","Scrape the pot stickers and edamame into a mixing bowl, and add the lettuce and salad dressing. Season to taste with salt, and toss to mix. Serve immediately."
19,https://www.allrecipes.com/thmb/tzxZ1Y0wVuluonAb90MIDR0330s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/380976-903e025f5de640d897937c224c2ec745.jpg,Preheat an oven to 325 degrees F (165 degrees C). Lightly grease a 9x13 inch baking pan.,"Mix rice flour, canola oil, milk, sugar, and baking powder in a large bowl. Stir in the beaten eggs. Pour the mixture into the baking pan. Drop small spoonfuls of the red bean paste into the flour mixture about 1 to 2 inches apart, making sure that the red bean paste is covered by the flour mixture. Sprinkle with toasted sesame seeds."
20,https://www.allrecipes.com/thmb/pprb5vj6ybuYsORr8bBAR9xDyMY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1172428-80b8333457e94ffcaf3bfcb9bc5e5852.jpg,Place red beans into a large container and cover with several inches of cool water; let stand 3 hours to overnight. Drain and rinse.,"Combine red beans and barley in a pot; add enough water to fill 1/2 the pot. Bring to a boil, reduce heat to low, cover pot, and simmer until beans and barley are tender, about 1 hour."
21,https://www.allrecipes.com/thmb/uHaMkaUzWwoWVVaWG53alXlocCE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3644857-72234b87ab604a26bf4f19e929160691.jpg,"Combine green beans and water in a skillet over medium-high heat. Cover and cook, stirring occasionally, until beans are tender-crisp, 4 to 5 minutes. Add ginger, garlic, and sesame oil; cook, stirring frequently, until garlic is fragrant and golden brown, 1 to 2 minutes.","Mix soy sauce, rice vinegar, sugar, and red pepper flakes together in a small bowl. Pour over beans and cook until sauce thickens enough to coat beans, 3 to 5 minutes."
22,https://www.allrecipes.com/thmb/PlKKc5sTT2p8fzS_ybPnTM6HSZc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5256746-3616ac03e1a54d16b6ab7f426c8839c1.jpg,"Cook and stir peppercorns in a dry skillet over medium heat until aromatic, 2 to 3 minutes. Grind peppercorns using a mortar and pestle.","Heat peanut oil in a small skillet over medium heat; add garlic and cook until lightly browned, about 1 minute. Mix ground peppercorns and ginger into garlic."
23,,"Pour water into a bowl. Sprinkle in yeast and let stand until yeast softens and begins to form a creamy foam, about 10 minutes. Add vegetable oil, sugar, and self-rising flour. Mix using a wooden spoon until a shaggy dough comes together.","Turn dough out onto your counter and knead into a smooth ball, about 10 minutes. Transfer dough ball into a lightly oiled bowl. Flip to lightly coat. Cover and let rise in a warm spot until doubled in size, about 2 hours."
24,https://www.allrecipes.com/thmb/nQZPauusd3EnVfLfdbmlQbk_XwQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3202579-78f53076869c4597862c8f0ce20f399b.jpg,"Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil, and brush the foil with melted butter.","In a medium bowl, mix together the vinegar, water, mayonnaise, horseradish, sugar, salt and pepper until well blended. Coat each piece of chicken heavily with the sauce, and place onto the prepared baking sheet."
25,https://www.allrecipes.com/thmb/hSjObHd5SfSafsR7alan_S7wrCA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1060557-534d2dc22c9149d8b6321969ab83c811.jpg,"Heat the chicken broth in a saucepan over medium heat, and stir in the can of corn. Let the mixture heat to a boil, stirring occasionally, and reduce heat to a simmer.","In a skillet over medium-low heat, melt the butter and cook and stir the celery and onion until tender, about 5 minutes. Stir in the flour, and cook and stir for about 2 minutes to remove the raw taste from the flour. Add the vegetable mixture to the saucepan, whisking in the flour to avoid lumps, and stir in the nutmeg. Let the soup return to a simmer."
26,https://www.allrecipes.com/thmb/spqRoSk7PVUqs0Ec9zQgtHBzZQk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/378303-154ba224e25648c8963b51dce43fa17d.jpg,"Heat the oil in a large skillet or wok over medium heat; cook the garlic in the hot oil until browned, 5 to 7 minutes. Add the onion and baby corn and cook until the onion is translucent, 5 to 7 minutes. Add the mushrooms to the mixture and cook until slightly softened, about 2 minutes. Pour the fish sauce, soy sauce, and oyster sauce into the mixture and stir until incorporated.",Whisk the cornstarch and water together in a small bowl until the cornstarch is dissolved into the water; pour into the mushroom mixture. Cook and stir until thickened and glistening. Transfer to a serving dish; garnish with the chile pepper and cilantro to serve.
27,https://www.allrecipes.com/thmb/NuPnwq04pQG3iAHw9ToCAkCQ3jQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5071900-easy-fried-chinese-chicken-balls-AllrecipesPhoto-4x3-1-62f559266e964b8c8f1887c0acf213c9.jpg,"Make batter: Combine flour, baking powder, and salt in a large bowl. Drizzle in sesame oil. Gradually add water, whisking constantly until smooth; batter should be the consistency of cream. Let sit for at least 30 minutes.",Fill a deep pan or wok with oil and slowly heat to 375 degrees F (190 degrees C).
28,,Cut tenderloin into 4 pieces. Arrange in a single layer between two sheets of plastic wrap and pound with a meat mallet until each is about 1-inch thick. Generously season with salt and black pepper.,"Whisk ketchup, rice vinegar, reserved pineapple juice, brown sugar, garlic, hot chili sauce, soy sauce, and red pepper flakes in a bowl. Set aside."
29,https://www.allrecipes.com/thmb/A8emZFC-9ta57BA2SSzDGDuBID8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/19996-e7426dffb1004763a8b77a79024263b8.jpg,Arrange a large bamboo steamer or a large vegetable steamer over simmering water. Make sure it is large enough to hold the baking pan. Line a 9 inch square pan with waxed paper.,"Separate the eggs. Place the yolks in a large bowl along with the sugar and water. Beat with an electric mixer on medium speed until the mixture has increased about three times in volume. Whisk together the flour and the baking powder; sift this over the egg mixture, and fold in gently. Blend in the extract."
30,https://www.allrecipes.com/thmb/CntHMalMWaf6-FYmyzPnc3qR2lw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/770386-1da6bea6a96748a5841c9c8df1f93faf.jpg,Lightly grease a 1-quart mold.,"In a large bowl, dissolve gelatin in boiling water. Stir in evaporated milk, sugar and coconut extract. Allow to cool to room temperature."
31,https://www.allrecipes.com/thmb/4_xtERrczG9sce7HT3PpzoyTdf4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5363963-9a3b79fedc904d54a3e06ea150a92518.jpg,"In a small bowl, dissolve cornstarch in 1/4 cup dry white wine. Set aside.","In a large skillet, heat peanut oil on medium-high heat until almost smoking. Remove the skillet from heat and add green onions. Return the skillet to heat and cook, stirring constantly, until the scallions are soft."
32,https://www.allrecipes.com/thmb/trvc_HBBKGwQCKq_BBqwNg7Sxi8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4579874-c6e38380cc154e938314533369e3bade.jpg,"Lay eggplant rounds on a work surface. Cut a small slit horizontally through each round, making a pocket to form 'burger buns' that are still joined together.","Mix ground pork, 2 tablespoons tamari, green onions, ginger, salt, and black pepper together in a bowl. Stuff mixture into the 'buns.'"
33,https://www.allrecipes.com/thmb/sN-zoUdnuBD3HoCpqY6f43qJ2GM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4536195-5e8727563bf74a2b9833081a75481496.jpg,Place pork neck bones into a large pot; cover with water. Bring to a boil and skim scum off the surface with a slotted spoon. Drain.,"Return bones to the pot. Add 10 cups water, potatoes, tomatoes, onion, and carrot. Bring to a boil. Reduce heat to low and simmer soup until flavors combine, 1 1/2 to 2 hours. Season with sugar and salt."
34,https://www.allrecipes.com/thmb/zP6bNU82w_9Atd2JKSgLbduB95w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4562567-8b03e41ca2d34fa3a64c9fcce3202a36.jpg,Bring 3 inches of water in a large pot of water to a boil. You may also do this with a wok and steamer baskets.,"In a large bowl, mix together the ground beef, onion, spinach, garlic, 1 teaspoon ginger, green onion, cilantro and salt. Place a spoonful of the filling onto a wonton wrapper; fold and crimp to seal. If necessary, wet the edges with water. Repeat with remaining filling and wrappers."
35,https://www.allrecipes.com/thmb/eBcib6jIAgD-k28FymdLKMoXLGQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9368866-957614917b7e40ab81b63b63afe50e16.jpg,"Combine egg yolk, soy sauce, rice wine, cornstarch, salt, and Sichuan peppercorns in a bowl to make the marinade. Add pork; marinate for at least 30 minutes.","Mix vinegar, water, sugar, tomato paste, soy sauce, and cornstarch together to make the seasoning sauce."
36,https://www.allrecipes.com/thmb/XFgnniVOWhFzSTZ78at5q8BQkGE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3400778-e1581eb1a3594b9f903c4eba19a2acea.jpg,"To Make Marinade: In a nonporous dish or bowl blend cornstarch with wine or sherry; then stir in lemon juice, soy sauce, hot pepper sauce, ginger and garlic. Blend together and stir in chicken strips. Cover dish and refrigerate to marinate for 3 to 4 hours.","In a wok or large skillet, place sesame seeds and dry-fry over medium heat, shaking the wok, until the seeds are a golden brown color. Remove seeds and set aside."
37,https://www.allrecipes.com/thmb/HZ-13AHjmRQ8XgekoGjp1dgey_c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1046904-2e535961283e4fc99b4762e706778e6f.jpg,"Heat sesame oil and olive oil in a large wok or frying pan over medium heat; cook and stir shrimp and onion in the hot oil until coated. Mix mushrooms, green bell pepper, and garlic into shrimp mixture, stirring constantly. Add ginger and stir.","Pour water and oyster sauce into shrimp mixture; simmer until shrimp are bright pink on the outside and the meat is no longer transparent in the center, 5 minutes. Stir well."
38,https://www.allrecipes.com/thmb/2JvppjOJ2GwGXxzptEIHA_PGJfI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/43208-4659a0f4f0e34b46844e4cd6b7324aef.jpg,Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.,"Heat oil in a large wok or sauté pan. Stir-fry mushrooms, onion, carrots, peppers, and garlic until tender. Stir in bean sprouts and green onions; cook for 1 minute."
39,https://www.allrecipes.com/thmb/4jxg6B-B7cpHmW8yCxpchbKnucQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/42968-7700ff1b802348bcbc79d549714ebcd6.jpg,"In a large bowl, blend hoisin sauce, cranberry sauce, soy sauce, white wine, honey, and red food coloring. Mix in garlic salt and Chinese five-spice powder. Place ribs in the mixture. Cover, and marinate in the refrigerator at least 1 hour.",Preheat the oven to 350 degrees F (175 degrees C).
40,https://www.allrecipes.com/thmb/JBf49lYAyIsM727pHSA3Qlooa88=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1598377-c04dd349869547e1882bdb2498f6d16b.jpg,"Mix the sliced pork, 1 tablespoon hoisin sauce, and 1 tablespoon cornstarch together in a bowl. Set aside. Combine the remaining 2 tablespoons hoisin sauce, chicken broth, and 1 tablespoon cornstarch with rice vinegar, sugar, and cayenne pepper in small bowl. Set aside.","Heat the sesame oil in a skillet over medium-high heat. Stir in the pork; cook and stir until the pork begins to brown, about 5 minutes. Add the garlic and ginger; cook and stir until fragrant. Mix in the carrot, bell pepper, and water chestnuts, cooking until the carrots are tender. Stir in the reserved hoisin sauce mixture and continue cooking and stirring until the flavors are combined, about 3 minutes."
41,https://www.allrecipes.com/thmb/0qyCjogtXtb5wCJJ0U9cInLYBdE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/370691-hot-and-sweet-dipping-sauce-SunnyByrd-4x3-1-5c51e3c02b6b42c6a8149a3d820d43c6.jpg,"Bring vinegar to a boil in a small, nonreactive pot. Stir in sugar until dissolved. Reduce heat to low, simmer for 5 minutes, and remove from heat.",Mash garlic and salt in a mortar and pestle to a smooth paste. Add paste to sweetened vinegar in the pot. Stir in red pepper flakes. Cool to room temperature before using. Store in the refrigerator for up to 2 days.
42,,Bring a large pot of water to a boil; add chicken and cook for 2 to 3 minutes. Drain and discard water.,"Bring a large pot of fresh water to a boil; add chicken, ginger, and peppercorns. Add more water if needed to cover chicken completely. Cover and cook over high heat until chicken is no longer pink and juices run clear, 35 to 45 minutes. Drain and discard water."
43,https://www.allrecipes.com/thmb/klAsx9CytLDcvCfktiwevcqZFKY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9182720-9cdd176d1bc5447bb59e8cbf94f4aba5.jpg,"In a bowl, mix together the oyster sauce, soy sauce, and brown sugar until the sugar has dissolved. Mix the potato starch and water in a small bowl, and stir it into the oyster sauce mixture until smooth.","Fill a pot with water, bring to a boil, and stir in salt and vegetable oil. Place the bok choy into the boiling water, and cook until tender, shiny, and bright green, 2 to 3 minutes. Drain the bok choy, and arrange attractively on a serving platter."
44,,Cook penne pasta in boiling salted water until al dente.,"Place the onion, leek, and carrot in a saucepan with the olive oil and saute for a few minutes until the onions become translucent."
45,https://www.allrecipes.com/thmb/XJWQA9BiUi8r5QrhTlE_QfjD0rg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4547387-5a5c98b4c3414a2fa60eaedbb072a81a.jpg,"Whisk egg, spring onions, ginger, Shaoxing wine, soy sauce, garlic, sugar, 1/2 teaspoon salt, and 1/2 teaspoon white pepper together in a bowl. Mix in chicken. Let marinate for 20 minutes.",Pour 1 cup plus 2 tablespoons sweet potato starch into a shallow bowl.
46,https://www.allrecipes.com/thmb/c5g66a7GOrnu9GqrGC5J3tRgjJE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4564673-a2f130ab70c3465fab7a071fc5833d38.jpg,"Sprinkle pork with cornstarch, cilantro, soy sauce, sugar, garlic, and ginger. Mix eggs into pork until completely incorporated and the mixture becomes sticky.","Combine water, winter melon, ginger, salt, and sugar in a large saucepan. Bring to a boil over high heat, then reduce heat to medium, and simmer for 5 minutes. Meanwhile, form 1 teaspoon-sized meatballs out of the pork mixture. Gently drop meatballs into simmering soup; simmer 8 to 10 minutes more until meatballs have cooked."
47,https://www.allrecipes.com/thmb/ITiHpzr5TT_54blLeABX4n6gipU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5036079-59cc530d324f444b9fcc7cb26b191372.jpg,"Fill a bowl with ice; add enough salted water to make an ice bath. Bring a large pot of lightly salted water to a boil. Cook the bitter melon in the boiling water until tender yet firm, about 2 minutes; strain the melon. Place the melon into the ice bath; allow to sit until bitterness is extracted, about 1 hour. Drain melon.","Whisk 1 teaspoon soy sauce, 1 teaspoon cornstarch, and baking soda together in a bowl. Add beef and toss to evenly coat. Marinate in the refrigerator for 1 hour."
48,https://www.allrecipes.com/thmb/5qYEbYGWR6UK7OyW0ARPu4cJDi8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4464920-6b9700827d844101b72a2aa1e9ff06ee.jpg,Place the rice in a bowl with enough water to cover. Allow to soak 2 hours. Drain and pour onto a platter.,"Mix the ground pork, water, wine, cornstarch, soy sauce, onion, ginger, garlic, salt, and pepper in a bowl until all ingredients are evenly mixed. Divide and roll the mixture into balls 1-1/2 to 2 inches in size. Roll the meatballs in the soaked glutinous rice to coat completely."
49,https://www.allrecipes.com/thmb/A8SbVfn42Zp2c7rGaJZYoG1Cg-Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7567223-7c6633d416ea4e2e8ba06e45cd3c124a.jpg,"Heat oil for frying in deep-fryer or large, heavy saucepan to 375 degrees F (190 degrees C).","Heat 1 tablespoon vegetable oil in a large skillet. Add garlic and onion, and saute for 2 minutes. Add bok choy and pea pods, and stir fry until the bok choy and pea pods are crisp-tender."
50,https://www.allrecipes.com/thmb/ujxIZXdviQMzY8UZy90W2DNxk3I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/962089-hunan-style-chicken-Baking-Nana-4x3-1-462daf00b8004b77998c533f496897db.jpg,"Stir together the honey, peppercorns, salt, soy sauce, and sherry in a large bowl; add the chicken and toss to coat.",Heat the oil in a large skillet over medium-high heat.
51,https://www.allrecipes.com/thmb/IaRr7Ukar_REz2Yblc17IYPo2Ak=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4465626-e8089ed8126d4088aeb260de855fe619.jpg,"Bring a pot of water to a boil; add pork belly. Cook until pork belly softens, about 5 minutes. Drain and cool pork until easily handled, 5 to 10 minutes. Cut into 2-inch chunks.","Heat vegetable oil in a large pot over medium-low heat. Add cinnamon stick and star anise; fry until fragrant, about 30 seconds. Stir in pork belly, light soy sauce, Shaoxing wine, dark soy sauce, sugar, and garlic. Reduce heat to very low and simmer, stirring occasionally and adding water if sauce reduces too quickly, until pork is tender, about 50 minutes."
52,https://www.allrecipes.com/thmb/gADbtpoCLEoyva53s5TatT8yiu0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5659507-bf9ad8f5e8704d64965ac1ab30d4b21c.jpg,Heat peanut oil in a wok to 375 degrees F (190 degrees C).,"Toss the shrimp with 1/4 cup of cornstarch to coat, then drop into the hot oil, and quickly fry until golden brown, about 45 seconds. When done, drain shrimp, and set aside."
